date,station_id,station_name,lat,lon,region,temperature,anomaly,status,marine_heatwaves,el_nino,coral_bleaching_risk
2014-01-01,41001,East Hatteras,34.7,-72.7,North Atlantic,3.58,0.0,active,8,False,moderate
2014-01-01,46001,Gulf of Alaska,56.3,-148.1,North Pacific,-8.13,0.0,active,8,False,moderate
2014-01-01,51001,Hawaii,23.4,-162.3,Central Pacific,12.85,0.0,active,8,False,moderate
2014-01-01,42001,South Hatteras,25.9,-89.7,Gulf of Mexico,13.02,0.0,active,8,False,moderate
2014-01-01,46050,Stonewall Bank,44.6,-124.5,US West Coast,-1.28,0.0,active,8,False,moderate
2014-01-01,44013,Boston Harbor,42.3,-70.7,North Atlantic,-0.62,0.0,active,8,False,moderate
2014-01-01,46086,San Francisco,37.8,-122.5,US West Coast,3.06,0.0,active,8,False,moderate
2014-01-01,41009,Delaware Bay,38.5,-74.7,Mid Atlantic,3.3,0.0,active,8,False,moderate
2014-01-01,46069,South Central Alaska,56.0,-148.0,North Pacific,-8.14,0.0,active,8,False,moderate
2014-01-01,42036,West Tampa,28.5,-84.5,Gulf of Mexico,11.22,0.0,active,8,False,moderate
2014-01-02,41001,East Hatteras,34.7,-72.7,North Atlantic,3.08,0.0,active,8,False,moderate
2014-01-02,46001,Gulf of Alaska,56.3,-148.1,North Pacific,-8.3,0.0,active,8,False,moderate
2014-01-02,51001,Hawaii,23.4,-162.3,Central Pacific,12.62,0.0,active,8,False,moderate
2014-01-02,42001,South Hatteras,25.9,-89.7,Gulf of Mexico,11.28,0.0,active,8,False,moderate
2014-01-02,46050,Stonewall Bank,44.6,-124.5,US West Coast,-2.04,0.0,active,8,False,moderate
2014-01-02,44013,Boston Harbor,42.3,-70.7,North Atlantic,-0.8,0.0,active,8,False,moderate
2014-01-02,46086,San Francisco,37.8,-122.5,US West Coast,1.74,0.0,active,8,False,moderate
2014-01-02,41009,Delaware Bay,38.5,-74.7,Mid Atlantic,3.05,0.0,active,8,False,moderate
2014-01-02,46069,South Central Alaska,56.0,-148.0,North Pacific,-8.37,0.0,inactive,8,False,moderate
2014-01-02,42036,West Tampa,28.5,-84.5,Gulf of Mexico,10.22,0.0,active,8,False,moderate
2014-01-03,41001,East Hatteras,34.7,-72.7,North Atlantic,4.02,0.0,active,8,False,moderate
2014-01-03,46001,Gulf of Alaska,56.3,-148.1,North Pacific,-8.19,0.0,active,8,False,moderate
2014-01-03,51001,Hawaii,23.4,-162.3,Central Pacific,12.51,0.0,active,8,False,moderate
2014-01-03,42001,South Hatteras,25.9,-89.7,Gulf of Mexico,11.5,0.0,active,8,False,moderate
